cell,group,sens,FD
380,blob,5.02962917749,0.012272074999941651
440,blob,4.67255886772,0.01153652499965574
381,blob,4.66346787864,0.01150149999915584
500,blob,4.47281469135,0.01104792499972973
382,blob,4.44314346617,0.011099500000000262
441,blob,4.37013465793,0.010892225000702638
383,blob,4.2930398203,0.010871624999708729
560,blob,4.22898349532,0.010475349999694572
1115,edge,6.91165902326,0.02122302499998341
318,edge,6.22221594925,0.017108050001013453
328,edge,6.19620171217,0.01730875000021115
327,edge,6.19339756465,0.017120850000651444
329,edge,6.18760530038,0.017507200000466128
326,edge,6.17973989443,0.01697187500013797
1296,sponge,101.685077125,0.1385404499998799
1297,sponge,97.3943506826,0.1216906500005166
1298,sponge,90.9553823577,0.10691112499898736
1126,sponge,89.8969152452,0.35833714999995436
1066,sponge,89.8852720175,0.32227200000107814
1295,sponge,86.858703431,0.11593252500006201
