direction,Jplus,Jminus,FD,adjointPred,pred_over_FD
rand0,322.618351137,322.60551763,0.8020941874988807,9.321218697338882,11.62110241242945
rand1,322.625045742,322.595569915,1.8422391874999278,547.609914304523,297.25234270348756
rand2,322.607848241,322.613806976,-0.3724209374986742,94.23790062123005,-253.04136027949698
rand3,322.603543666,322.618434494,-0.9306767499985824,-404.99391151028505,435.16066293791255
rand4,322.622177341,322.601014606,1.322670937501158,492.5910690232509,372.4214807001606
uniform_blob,322.634237176,322.593686251,2.534432812499432,992.5965371191901,391.64444692471506
uniform_band,322.644995006,322.578062029,4.183311062497808,1604.6395292043558,383.5812124012226
